,Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Africa Eastern and Southern,0.9003991497578829,0.971980786600712,0.9757491349559252,1.00996289646531,1.05718153490629,1.03299842832055,1.02364555057226,1.04596778455517,1.08644884945052,1.02195356572593,1.04887555573041,1.0053381095460998,1.02164632918829,1.03183309057281,1.0411447920002,0.987393167382925,0.971016455310255,0.959978016817397,0.9335412011362272
1,Africa Western and Central,0.447243620092775,0.4741396848014699,0.474875185600127,0.4745922653759099,0.474318246383295,0.50945830203757,0.4879525095482599,0.475147837749212,0.4750245446930429,0.426769596319387,0.472819124711189,0.497022584362617,0.490866786557112,0.504655298587815,0.5076711206706189,0.480743071312896,0.4729593640183879,0.4764377689563769,0.515544238958445
2,Arab World,3.16330493711316,3.2825094803969903,3.347226797743569,3.3617277707251096,3.47423984595025,3.7042979260436497,3.80164616101133,3.88313987385694,4.0935381954936805,4.19327154821276,4.32200192749412,4.30874050686413,4.512189409484611,4.49519443939826,4.600190659035519,4.617963544634719,4.57030837009204,4.52835061157416,4.438715965413571
3,Australia,17.689656972797998,17.769535878019898,17.9574992112521,17.692029313308602,18.1478978904379,18.117853570518,18.1206789094546,18.5028519848662,18.2830412439057,18.2074249597772,17.5814449601144,17.2681103655036,16.9692565563587,16.3986459950997,15.755876100915598,15.7864494009173,15.8720795379851,15.7386474030825,15.475516485656
4,Central Europe and the Baltics,6.53438652674119,6.6865105503721605,6.6003332412395,6.91428613927647,6.92427459743055,6.927355354808719,7.099956367668071,7.192342046045179,7.0526354274999,6.521535327010679,6.786153806123751,6.803902523198731,6.56254306163762,6.326934970979639,6.142062500684201,6.24998268897351,6.37248993580012,6.6259439670661,6.59723248598714
5,Europe & Central Asia,7.48216015938433,7.53652044148042,7.534290522144269,7.73619964741557,7.746554807099099,7.70038825224257,7.83009775141114,7.791653169773901,7.728668295641611,7.102064943975769,7.36862781933412,7.36389549461738,7.29048889234514,7.10863643343444,6.76855016183679,6.694111202079589,6.685154723198839,6.721799839876,6.69010595705676
6,European Union,7.83150674729532,7.95109272430191,7.916832031953289,8.10273105293447,8.084480756120861,8.01066253551292,8.00243854637839,7.88380650384707,7.682107735496791,7.09733195825314,7.281549192713291,7.072379568768881,6.92720467882331,6.7429737169052,6.40022381699849,6.51638883308948,6.5189225301446605,6.55914292168476,6.4240387413347495
7,Latin America & Caribbean,2.44607972360996,2.41724015593281,2.39714985612915,2.3927662888458503,2.46422324858905,2.53241186904977,2.5655891409771203,2.64073583140291,2.71085247762819,2.62512285430721,2.7350019288223,2.80842473696787,2.87578721485356,2.9177223628791404,2.9063702805669203,2.86493157609527,2.7809517187686,2.70001842431839,2.63736256899646
8,Middle East & North Africa,4.07884205379951,4.20399368661261,4.30518457906183,4.37380375609323,4.54194437704516,4.811704835683741,4.99444647777651,5.14010686783671,5.332964756280321,5.44082592338133,5.54407212176223,5.5363989888150895,5.74152870772102,5.73594382705647,5.847665955358111,5.81840465144704,5.754217998927491,5.73090672707515,5.638657141208559
9,North America,20.1148175290478,19.8033382822866,19.1891794141214,19.289542723553897,19.3343704425672,19.2443616540064,18.7312210358998,18.8946346286001,18.1270449936342,16.6912470968449,17.2699742549595,16.5390145067508,15.7740390145107,16.0824634186624,16.0130939953744,15.550833640324,15.1469245227553,14.8682233158805,15.2708756112257
10,South Asia,0.773531071458188,0.7731664462433431,0.785737829587573,0.795362374763142,0.839647472552924,0.8638377892016229,0.907528052704864,0.982300306885539,1.02328450576512,1.10290837130009,1.14982190181249,1.19854436184798,1.27424033641974,1.2918276921291498,1.38292180833402,1.3848155741126102,1.39975587202481,1.46285048165024,1.52665123826178
11,World,3.8126493115353,3.82765888146696,3.83475135105644,3.95850274353281,4.0922516616783495,4.19630121305972,4.28100643229647,4.39186677996519,4.37691721578986,4.27713136952081,4.48314795598468,4.570123102894691,4.57876814606997,4.61022927939351,4.560774243390361,4.4887700911603705,4.43675907864533,4.44130858245966,4.48352391238305
